plate,experiment,well,row,col,readtime,abs600,neon_top,crim_top
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,A1,A,1,7,0.1055,25644,278360
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,A2,A,2,7,0.1254,274679,102888
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,A3,A,3,7,0.1487,21184,238149
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,A4,A,4,7,0.1048,30153,205559
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,A5,A,5,7,0.1087,162129,64811
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,A6,A,6,7,0.1047,19393,118703
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,A7,A,7,7,0.089,14117,41457
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,A8,A,8,7,0.1238,27542,120740
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,A9,A,9,7,0.1048,16377,62644
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,A10,A,10,7,0.2246,20555,197274
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,A11,A,11,7,0.1142,18978,74514
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,A12,A,12,7,0.1181,16244,87796
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,B1,B,1,7,0.1073,35447,323612
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,B2,B,2,7,0.1016,46465,235782
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,B3,B,3,7,0.1119,61598,315720
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,B4,B,4,7,0.1266,31400,273302
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,B5,B,5,7,0.0933,31255,250474
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,B6,B,6,7,0.1268,38305,299874
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,B7,B,7,7,0.2108,42279,267621
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,B8,B,8,7,0.1305,29602,133265
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,B9,B,9,7,0.1546,25775,133528
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,B10,B,10,7,0.1274,24533,173039
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,B11,B,11,7,0.171,30024,172411
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,B12,B,12,7,0.1342,19738,113647
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,C1,C,1,7,0.099,44922,293920
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,C2,C,2,7,0.0942,32703,226074
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,C3,C,3,7,0.1908,41818,397842
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,C4,C,4,7,0.1897,41332,504570
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,C5,C,5,7,0.1454,34003,315673
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,C6,C,6,7,0.1346,39833,317375
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,C7,C,7,7,0.143,23859,186669
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,C8,C,8,7,0.1512,22962,131857
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,C9,C,9,7,0.1563,21596,121412
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,C10,C,10,7,0.1277,22967,151611
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,C11,C,11,7,0.0917,20497,129338
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,C12,C,12,7,0.1354,18443,146554
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,D1,D,1,7,0.1776,37104,373648
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,D2,D,2,7,0.1701,50882,411993
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,D3,D,3,7,0.2074,65277,663559
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,D4,D,4,7,0.2061,35397,369138
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,D5,D,5,7,0.1334,41017,306125
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,D6,D,6,7,0.159,54309,366040
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,D7,D,7,7,0.1456,27845,219696
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,D8,D,8,7,0.1657,22767,213771
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,D9,D,9,7,0.1306,18860,99120
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,D10,D,10,7,0.1115,20643,110137
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,D11,D,11,7,0.1442,24140,174438
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,D12,D,12,7,0.1072,22630,114274
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,E1,E,1,7,0.2812,1442354,3667
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,E2,E,2,7,0.0887,334876,1975
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,E3,E,3,7,0.1064,744983,2258
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,E4,E,4,7,0.1518,654566,2824
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,E5,E,5,7,0.1359,578766,2541
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,E6,E,6,7,0.1391,494923,2823
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,E7,E,7,7,0.1066,340437,2824
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,E8,E,8,7,0.1363,377487,3953
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,E9,E,9,7,0.1028,394033,5648
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,E10,E,10,7,0.0947,202139,6211
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,E11,E,11,7,0.1079,622440,4235
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,E12,E,12,7,0.1072,236549,1977
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,F1,F,1,7,0.1494,977316,5365
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,F2,F,2,7,0.1549,901496,2541
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,F3,F,3,7,0.1482,981948,3671
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,F4,F,4,7,0.1612,1076398,3106
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,F5,F,5,7,0.1431,440662,4235
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,F6,F,6,7,0.1515,904471,2541
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,F7,F,7,7,0.1166,773383,3671
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,F8,F,8,7,0.2098,432284,6777
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,F9,F,9,7,0.1345,422252,1130
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,F10,F,10,7,0.1066,955090,4234
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,F11,F,11,7,0.1432,675555,3670
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,F12,F,12,7,0.1383,792549,2257
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,G1,G,1,7,0.0782,13102,1410
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,G2,G,2,7,0.0749,13789,2258
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,G3,G,3,7,0.0792,17215,2258
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,G4,G,4,7,0.0792,15159,1976
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,G5,G,5,7,0.0803,15775,2824
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,G6,G,6,7,0.0787,15983,3670
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,G7,G,7,7,0.1158,902871,68048
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,G8,G,8,7,0.1005,450385,78772
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,G9,G,9,7,0.0986,382299,84157
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,G10,G,10,7,0.0982,302135,82164
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,G11,G,11,7,0.1037,460495,81321
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,G12,G,12,7,0.0988,232953,57323
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,H1,H,1,7,0.0854,11593,2542
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,H2,H,2,7,0.0871,13785,3389
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,H3,H,3,7,0.0807,13716,1977
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,H4,H,4,7,0.0838,13378,1130
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,H5,H,5,7,0.0789,15707,3671
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,H6,H,6,7,0.0752,13719,1694
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,H7,H,7,7,0.0927,597289,10449
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,H8,H,8,7,0.0953,145897,112972
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,H9,H,9,7,0.0933,203798,14402
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,H10,H,10,7,0.129,80942,206721
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,H11,H,11,7,0.0942,163988,23148
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,H12,H,12,7,0.0969,233136,31321
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,A1,A,1,7,0.0882,133545,19945
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,A2,A,2,7,0.0907,109959,11161
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,A3,A,3,7,0.0934,169954,21828
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,A4,A,4,7,0.0952,148993,12891
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,A5,A,5,7,0.1112,375156,16831
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,A6,A,6,7,0.0907,365436,21048
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,A7,A,7,7,0.114,298317,7300
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,A8,A,8,7,0.0946,156017,5616
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,A9,A,9,7,0.1359,397673,9831
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,A10,A,10,7,0.1165,246253,7303
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,A11,A,11,7,0.1172,265347,8990
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,A12,A,12,7,0.1068,210772,5058
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,B1,B,1,7,0.0898,201713,15741
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,B2,B,2,7,0.0929,212176,12368
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,B3,B,3,7,0.1069,367402,14898
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,B4,B,4,7,0.0975,240759,17144
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,B5,B,5,7,0.1162,278044,39068
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,B6,B,6,7,0.1174,315879,37380
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,B7,B,7,7,0.1288,468910,7026
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,B8,B,8,7,0.144,502472,8712
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,B9,B,9,7,0.1114,333800,8712
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,B10,B,10,7,0.1122,331601,8148
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,B11,B,11,7,0.1075,219639,10955
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,B12,B,12,7,0.1,239330,7301
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,C1,C,1,7,0.1026,31724,205068
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,C2,C,2,7,0.102,26576,315318
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,C3,C,3,7,0.1052,29394,196762
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,C4,C,4,7,0.1215,30143,276099
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,C5,C,5,7,0.1342,28020,247130
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,C6,C,6,7,0.1189,39073,177695
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,C7,C,7,7,0.1201,16410,116390
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,C8,C,8,7,0.127,21357,122300
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,C9,C,9,7,0.1327,20051,128201
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,C10,C,10,7,0.1586,19570,99257
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,C11,C,11,7,0.1265,20259,91107
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,C12,C,12,7,0.1478,16071,82100
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,D1,D,1,7,0.1006,28851,144544
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,D2,D,2,7,0.1069,45476,304597
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,D3,D,3,7,0.1011,34004,255360
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,D4,D,4,7,0.1267,39229,278417
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,D5,D,5,7,0.1221,39843,246066
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,D6,D,6,7,0.1127,35990,212885
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,D7,D,7,7,0.1177,17723,130463
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,D8,D,8,7,0.1269,21092,148740
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,D9,D,9,7,0.112,16211,77326
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,D10,D,10,7,0.0983,18410,70565
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,D11,D,11,7,0.0877,17243,96969
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,D12,D,12,7,0.1207,16898,116886
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,E1,E,1,7,0.1122,475589,4497
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,E2,E,2,7,0.0861,253296,3654
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,E3,E,3,7,0.0965,348798,3655
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,E4,E,4,7,0.0865,312670,4217
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,E5,E,5,7,0.0991,344159,3655
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,E6,E,6,7,0.0911,435862,2250
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,E7,E,7,7,0.1028,619905,4218
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,E8,E,8,7,0.091,210880,2531
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,E9,E,9,7,0.1057,307231,2531
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,E10,E,10,7,0.0867,170783,2250
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,E11,E,11,7,0.096,296466,3094
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,E12,E,12,7,0.1092,431602,5063
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,F1,F,1,7,0.0981,436018,2812
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,F2,F,2,7,0.0949,527519,4500
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,F3,F,3,7,0.0913,386054,2812
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,F4,F,4,7,0.0986,348100,3375
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,F5,F,5,7,0.1187,737473,1688
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,F6,F,6,7,0.0921,477280,2531
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,F7,F,7,7,0.0982,483695,2812
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,F8,F,8,7,0.1105,545946,5905
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,F9,F,9,7,0.0881,193324,2531
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,F10,F,10,7,0.1017,603328,5062
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,F11,F,11,7,0.0948,198809,1968
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,F12,F,12,7,0.1094,352214,2810
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,G1,G,1,7,0.0778,13193,3373
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,G2,G,2,7,0.0814,13815,3093
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,G3,G,3,7,0.0763,16425,1969
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,G4,G,4,7,0.0775,15325,2250
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,G5,G,5,7,0.0744,15668,3376
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,G6,G,6,7,0.0755,12713,2813
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,G7,G,7,7,0.0849,16012,1406
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,G8,G,8,7,0.0842,14295,3938
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,G9,G,9,7,0.0859,16151,3938
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,G10,G,10,7,0.0848,16628,4220
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,G11,G,11,7,0.087,14021,3376
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,G12,G,12,7,0.0846,12990,3938
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,H1,H,1,7,0.0781,10446,2814
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,H2,H,2,7,0.0956,11959,5628
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,H3,H,3,7,0.0783,9690,3376
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,H4,H,4,7,0.0807,14571,3095
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,H5,H,5,7,0.0772,15808,3939
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,H6,H,6,7,0.075,13129,844
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,H7,H,7,7,0.0808,14779,3939
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,H8,H,8,7,0.0837,17317,2532
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,H9,H,9,7,0.0846,14638,3376
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,H10,H,10,7,0.0859,13747,3375
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,H11,H,11,7,0.0856,16154,2812
PlateB_T3h_Trial3,2024-02_Peffect_Trial3,H12,H,12,7,0.0846,15393,3373
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,A1,A,1,7,0.1088,282120,4156
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,A2,A,2,7,0.0854,196132,6698
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,A3,A,3,7,0.0957,187976,6437
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,A4,A,4,7,0.0938,421199,10371
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,A5,A,5,7,0.0954,285962,12064
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,A6,A,6,7,0.1071,290948,6456
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,A7,A,7,7,0.1224,348073,6177
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,A8,A,8,7,0.1289,228722,5336
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,A9,A,9,7,0.1382,380461,4495
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,A10,A,10,7,0.107,451654,7868
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,A11,A,11,7,0.1267,222008,7307
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,A12,A,12,7,0.0938,128876,3372
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,B1,B,1,7,0.0892,257934,6186
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,B2,B,2,7,0.1012,615534,11246
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,B3,B,3,7,0.0923,249083,5342
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,B4,B,4,7,0.0987,361338,14057
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,B5,B,5,7,0.1012,330316,8996
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,B6,B,6,7,0.0951,246713,6466
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,B7,B,7,7,0.1142,445479,6747
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,B8,B,8,7,0.1139,212710,5060
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,B9,B,9,7,0.1255,320529,5059
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,B10,B,10,7,0.1363,530160,3372
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,B11,B,11,7,0.1434,578420,7305
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,B12,B,12,7,0.1034,170625,4212
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,C1,C,1,7,0.0951,25218,114318
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,C2,C,2,7,0.1038,53023,182426
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,C3,C,3,7,0.1063,38776,215645
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,C4,C,4,7,0.1166,36857,165629
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,C5,C,5,7,0.1209,52956,266592
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,C6,C,6,7,0.1046,29526,206126
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,C7,C,7,7,0.0989,23914,128515
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,C8,C,8,7,0.1012,19385,83517
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,C9,C,9,7,0.1073,16577,73121
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,C10,C,10,7,0.1297,22472,105188
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,C11,C,11,7,0.0995,17542,101811
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,C12,C,12,7,0.1064,15963,73956
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,D1,D,1,7,0.0947,23365,95923
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,D2,D,2,7,0.0954,33503,147678
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,D3,D,3,7,0.1124,31313,241077
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,D4,D,4,7,0.1188,43865,363779
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,D5,D,5,7,0.1106,39206,135020
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,D6,D,6,7,0.1155,41456,213798
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,D7,D,7,7,0.0971,21450,85500
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,D8,D,8,7,0.0858,15968,67779
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,D9,D,9,7,0.1091,20214,166522
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,D10,D,10,7,0.1015,17404,108274
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,D11,D,11,7,0.0942,17133,73384
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,D12,D,12,7,0.0989,19946,101442
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,E1,E,1,7,0.0856,192172,1967
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,E2,E,2,7,0.0863,338168,2530
PlateC_T6h_Trial3,2024-02_Peffect_Trial3,E3,E,3,7,0.0875,304935,3375
