strain,dotted,survived,Rep,Experiment,Day
WCS365,14,0,,1,0
N2C3,11,9,,1,0
N2C3-Crim,50,49,,1,0
N2C3-Neon,55,54,,1,0
WCS365-Crim,75,75,,1,0
WCS365-Neon,67,67,,1,0
WCS365-Neon,62,62,A,1,7
WCS365-Crim,63,58,A,1,7
N2C3-Neon,75,48,A,1,7
N2C3-Crim,80,74,A,1,7
WCS365-Neon,39,39,B,1,7
WCS365-Crim,56,56,B,1,7
N2C3-Neon,36,23,B,1,7
N2C3-Crim,30,22,B,1,7
WCS365,16,0,A,1,7
N2C3,16,0,A,1,7
WCS365-Neon,45,45,,2,0
WCS365-Crim,44,43,,2,0
N2C3-Neon,45,43,,2,0
N2C3-Crim,44,44,,2,0
N2C3-Neon,86,49,A,2,7
N2C3-Neon,86,40,B,2,7
N2C3-Neon,86,39,C,2,7
WCS365-Neon,86,86,A,2,7
WCS365-Neon,86,86,B,2,7
WCS365-Neon,86,86,C,2,7
N2C3-Crim,86,74,A,2,7
N2C3-Crim,86,77,B,2,7
N2C3-Crim,86,64,C,2,7
WCS365-Crim,86,84,A,2,7
WCS365-Crim,86,86,B,2,7
WCS365-Crim,86,85,C,2,7