experiment,plate,row,col,protect,path,plant,protect_od,path_od,date_inoc,date_germ,date_ster,date_process,light_dn,light_lx,temp_dn,MS,MES,pH,notes
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,A,1,ATL4B2,ATR2A1,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,B,1,ATR3A3,ATR2A1,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,C,1,MOCK,ATR2A1,col0,0,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,D,1,ATL4B3,ATR2A1,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,E,1,ATD3B1,ATR2A1,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,F,1,ATY4B2,ATR2A1,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,G,1,WCS365,ATR2A1,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,H,1,MOCK,ATR2A1,col0,0,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,A,2,ATL4B2,ATR2A1,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,B,2,ATR3A3,ATR2A1,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,C,2,MOCK,ATR2A1,col0,0,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,D,2,ATL4B3,ATR2A1,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,E,2,ATD3B1,ATR2A1,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,F,2,ATY4B2,ATR2A1,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,G,2,WCS365,ATR2A1,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,H,2,MOCK,ATR2A1,col0,0,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,A,3,ATL4B2,MOCK,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,B,3,ATR3A3,MOCK,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,C,3,MOCK,MOCK,col0,0,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,D,3,ATL4B3,MOCK,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,E,3,ATD3B1,MOCK,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,F,3,ATY4B2,MOCK,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,G,3,WCS365,MOCK,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,H,3,MOCK,MOCK,col0,0,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,A,4,ATL4B2,MOCK,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,B,4,ATR3A3,MOCK,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,C,4,MOCK,MOCK,col0,0,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,D,4,ATL4B3,MOCK,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,E,4,ATD3B1,MOCK,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,F,4,ATY4B2,MOCK,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,G,4,WCS365,MOCK,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,H,4,MOCK,MOCK,col0,0,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,A,5,ATL4B2,N2C3,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,B,5,ATR3A3,N2C3,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,C,5,MOCK,N2C3,col0,0,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,D,5,ATL4B3,N2C3,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,E,5,ATD3B1,N2C3,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,F,5,ATY4B2,N2C3,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,G,5,WCS365,N2C3,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,H,5,MOCK,N2C3,col0,0,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,A,6,ATL4B2,N2C3,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,B,6,ATR3A3,N2C3,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,C,6,MOCK,N2C3,col0,0,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,D,6,ATL4B3,N2C3,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,E,6,ATD3B1,N2C3,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,F,6,ATY4B2,N2C3,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,G,6,WCS365,N2C3,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,H,6,MOCK,N2C3,col0,0,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,A,7,MOCK,MOCK,col0,0,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,B,7,ATR3A3,MOCK,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,C,7,ATL4B3,MOCK,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,D,7,ATL4B2,MOCK,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,E,7,ATY4B2,MOCK,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,F,7,WCS365,MOCK,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,G,7,ATD3B1,MOCK,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,H,7,MOCK,MOCK,col0,0,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,A,8,MOCK,MOCK,col0,0,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,B,8,ATR3A3,MOCK,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,C,8,ATL4B3,MOCK,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,D,8,ATL4B2,MOCK,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,E,8,ATY4B2,MOCK,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,F,8,WCS365,MOCK,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,G,8,ATD3B1,MOCK,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,H,8,MOCK,MOCK,col0,0,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,A,9,MOCK,ATR2A1,col0,0,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,B,9,ATR3A3,ATR2A1,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,C,9,ATL4B3,ATR2A1,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,D,9,ATL4B2,ATR2A1,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,E,9,ATY4B2,ATR2A1,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,F,9,WCS365,ATR2A1,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,G,9,ATD3B1,ATR2A1,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,H,9,MOCK,ATR2A1,col0,0,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,A,10,MOCK,ATR2A1,col0,0,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,B,10,ATR3A3,ATR2A1,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,C,10,ATL4B3,ATR2A1,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,D,10,ATL4B2,ATR2A1,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,E,10,ATY4B2,ATR2A1,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,F,10,WCS365,ATR2A1,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,G,10,ATD3B1,ATR2A1,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,H,10,MOCK,ATR2A1,col0,0,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,A,11,MOCK,N2C3,col0,0,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,B,11,ATR3A3,N2C3,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,C,11,ATL4B3,N2C3,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,D,11,ATL4B2,N2C3,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,E,11,ATY4B2,N2C3,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,F,11,WCS365,N2C3,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,G,11,ATD3B1,N2C3,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,H,11,MOCK,N2C3,col0,0,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,A,12,MOCK,N2C3,col0,0,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,B,12,ATR3A3,N2C3,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,C,12,ATL4B3,N2C3,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,D,12,ATL4B2,N2C3,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,E,12,ATY4B2,N2C3,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,F,12,WCS365,N2C3,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,G,12,ATD3B1,N2C3,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,H,12,MOCK,N2C3,col0,0,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
