plate_alias,row,col,Neon-raw,Crim-raw,Neon-cfu,Crim-cfu,Neon-100,Crim-100
Ncrim_Wneon_A_001_cropped,A,1,28577,126731,,,,
Ncrim_Wneon_A_001_cropped,B,1,348310,9573,,,,
Ncrim_Wneon_A_001_cropped,C,1,409924,3006,,,,
Ncrim_Wneon_A_001_cropped,D,1,362728,2463,,,,
Ncrim_Wneon_A_001_cropped,E,1,39655,92707,,,,
Ncrim_Wneon_A_001_cropped,F,1,362289,4654,,,,
Ncrim_Wneon_A_001_cropped,G,1,232246,4103,,,,
Ncrim_Wneon_A_001_cropped,H,1,192375,1643,,,,
Ncrim_Wneon_A_001_cropped,A,2,25712,219337,,,,
Ncrim_Wneon_A_001_cropped,B,2,109055,53614,,,,
Ncrim_Wneon_A_001_cropped,C,2,274397,6831,,,,
Ncrim_Wneon_A_001_cropped,D,2,243587,3831,,,,
Ncrim_Wneon_A_001_cropped,E,2,29418,165970,,,,
Ncrim_Wneon_A_001_cropped,F,2,177302,45985,,,,
Ncrim_Wneon_A_001_cropped,G,2,262056,5469,,,,
Ncrim_Wneon_A_001_cropped,H,2,224647,2464,,,,
Ncrim_Wneon_A_001_cropped,A,3,22533,189492,,,,
Ncrim_Wneon_A_001_cropped,B,3,30375,173146,,,,
Ncrim_Wneon_A_001_cropped,C,3,165652,69154,,,,
Ncrim_Wneon_A_001_cropped,D,3,180651,2463,,,,
Ncrim_Wneon_A_001_cropped,E,3,34188,194479,,,,
Ncrim_Wneon_A_001_cropped,F,3,30941,130853,,,,
Ncrim_Wneon_A_001_cropped,G,3,65220,19968,,,,
Ncrim_Wneon_A_001_cropped,H,3,87289,1643,,,,
Ncrim_Wneon_A_001_cropped,A,4,40200,210250,,,,
Ncrim_Wneon_A_001_cropped,B,4,26790,154242,,,,
Ncrim_Wneon_A_001_cropped,C,4,30243,117833,,,,
Ncrim_Wneon_A_001_cropped,D,4,20905,4377,,,,
Ncrim_Wneon_A_001_cropped,E,4,42322,210644,,,,
Ncrim_Wneon_A_001_cropped,F,4,37624,154371,,,,
Ncrim_Wneon_A_001_cropped,G,4,27308,148299,,,,
Ncrim_Wneon_A_001_cropped,H,4,20632,3833,,,,
Ncrim_Wneon_A_001_cropped,A,5,56270,89509,166.666666666667,5633.33333333333,,
Ncrim_Wneon_A_001_cropped,B,5,326071,8204,0,6366.66666666667,,
Ncrim_Wneon_A_001_cropped,C,5,424337,2461,10333.3333333333,0,,
Ncrim_Wneon_A_001_cropped,D,5,358517,3010,14000,0,,
Ncrim_Wneon_A_001_cropped,E,5,135894,97943,350,9000,,
Ncrim_Wneon_A_001_cropped,F,5,199349,7936,7733.33333333333,0,,
Ncrim_Wneon_A_001_cropped,G,5,237744,2463,16666.6666666667,333.333333333333,,
Ncrim_Wneon_A_001_cropped,H,5,215913,2738,10666.6666666667,0,,
Ncrim_Wneon_A_001_cropped,A,6,24691,171200,0,5933.33333333333,,
Ncrim_Wneon_A_001_cropped,B,6,220407,68102,9500,1500,,
Ncrim_Wneon_A_001_cropped,C,6,403851,6561,13333.3333333333,666.666666666667,,
Ncrim_Wneon_A_001_cropped,D,6,401181,3557,13500,0,,
Ncrim_Wneon_A_001_cropped,E,6,35171,170688,0,6200,,
Ncrim_Wneon_A_001_cropped,F,6,278881,128374,4666.66666666667,4666.66666666667,,
Ncrim_Wneon_A_001_cropped,G,6,269278,4925,11333.3333333333,0,,
Ncrim_Wneon_A_001_cropped,H,6,231102,1369,11000,0,,
Ncrim_Wneon_A_001_cropped,A,7,38089,190903,0,6200,,
Ncrim_Wneon_A_001_cropped,B,7,32464,188178,2666.66666666667,7666.66666666667,,
Ncrim_Wneon_A_001_cropped,C,7,147525,36634,3666.66666666667,9000,,
Ncrim_Wneon_A_001_cropped,D,7,620278,4652,10500,0,,
Ncrim_Wneon_A_001_cropped,E,7,37982,141151,0,5633.33333333333,,
Ncrim_Wneon_A_001_cropped,F,7,32070,182574,0,4433.33333333333,,
Ncrim_Wneon_A_001_cropped,G,7,178233,63753,1700,1700,,
Ncrim_Wneon_A_001_cropped,H,7,179921,3833,12000,0,,
Ncrim_Wneon_A_001_cropped,A,8,25887,172359,0,3866.66666666667,,
Ncrim_Wneon_A_001_cropped,B,8,31490,265006,0,6766.66666666667,,
Ncrim_Wneon_A_001_cropped,C,8,30799,126054,0,19333.3333333333,,
Ncrim_Wneon_A_001_cropped,D,8,22945,2462,0,0,,
Ncrim_Wneon_A_001_cropped,E,8,29903,136234,0,7966.66666666667,,
Ncrim_Wneon_A_001_cropped,F,8,26458,125640,0,4650,,
Ncrim_Wneon_A_001_cropped,G,8,26398,100969,0,9500,,
Ncrim_Wneon_A_001_cropped,H,8,21894,2738,0,0,,
Ncrim_Wneon_A_001_cropped,A,9,105371,164761,,,,
Ncrim_Wneon_A_001_cropped,B,9,648764,5469,,,,
Ncrim_Wneon_A_001_cropped,C,9,448511,1641,,,,
Ncrim_Wneon_A_001_cropped,D,9,506120,1368,,,,
Ncrim_Wneon_A_001_cropped,E,9,455034,80705,,,,
Ncrim_Wneon_A_001_cropped,F,9,306265,3010,,,,
Ncrim_Wneon_A_001_cropped,G,9,329762,4105,,,,
Ncrim_Wneon_A_001_cropped,H,9,192103,2738,,,,
Ncrim_Wneon_A_001_cropped,A,10,30583,159038,,,,
Ncrim_Wneon_A_001_cropped,B,10,202326,58515,,,,
Ncrim_Wneon_A_001_cropped,C,10,646791,3555,,,,
Ncrim_Wneon_A_001_cropped,D,10,368070,4377,,,,
Ncrim_Wneon_A_001_cropped,E,10,43109,196191,,,,
Ncrim_Wneon_A_001_cropped,F,10,60298,111928,,,,
Ncrim_Wneon_A_001_cropped,G,10,394668,3010,,,,
Ncrim_Wneon_A_001_cropped,H,10,120173,2737,,,,
Ncrim_Wneon_A_001_cropped,A,11,56683,188038,,,,
Ncrim_Wneon_A_001_cropped,B,11,222990,101426,,,,
Ncrim_Wneon_A_001_cropped,C,11,142137,57425,,,,
Ncrim_Wneon_A_001_cropped,D,11,433028,4650,,,,
Ncrim_Wneon_A_001_cropped,E,11,25202,91099,,,,
Ncrim_Wneon_A_001_cropped,F,11,23929,102611,,,,
Ncrim_Wneon_A_001_cropped,G,11,116356,58282,,,,
Ncrim_Wneon_A_001_cropped,H,11,454910,2189,,,,
Ncrim_Wneon_A_001_cropped,A,12,23223,133640,,,,
Ncrim_Wneon_A_001_cropped,B,12,23772,182007,,,,
Ncrim_Wneon_A_001_cropped,C,12,22246,50863,,,,
Ncrim_Wneon_A_001_cropped,D,12,18591,1640,,,,
Ncrim_Wneon_A_001_cropped,E,12,23800,143350,,,,
Ncrim_Wneon_A_001_cropped,F,12,22947,95713,,,,
Ncrim_Wneon_A_001_cropped,G,12,22044,39404,,,,
Ncrim_Wneon_A_001_cropped,H,12,19720,3556,,,,
Ncrim_WneonLacZ_B_002_cropped,A,1,55228,160190,,,31438,52772
Ncrim_WneonLacZ_B_002_cropped,B,1,583453,4667,,,130088,2041
Ncrim_WneonLacZ_B_002_cropped,C,1,536634,2743,,,115313,2294
Ncrim_WneonLacZ_B_002_cropped,D,1,476213,3845,,,115940,1786
Ncrim_WneonLacZ_B_002_cropped,E,1,126788,201119,,,38033,21930
Ncrim_WneonLacZ_B_002_cropped,F,1,486787,3022,,,128585,2553
Ncrim_WneonLacZ_B_002_cropped,G,1,418007,549,,,313733,2551
Ncrim_WneonLacZ_B_002_cropped,H,1,485394,1924,,,148294,3831
Ncrim_WneonLacZ_B_002_cropped,A,2,18517,117963,,,20310,41252
Ncrim_WneonLacZ_B_002_cropped,B,2,88320,158150,,,26809,21938
Ncrim_WneonLacZ_B_002_cropped,C,2,518485,2468,,,115465,2039
Ncrim_WneonLacZ_B_002_cropped,D,2,463994,2197,,,105208,1531
Ncrim_WneonLacZ_B_002_cropped,E,2,34259,320041,,,21557,32391
Ncrim_WneonLacZ_B_002_cropped,F,2,141273,187410,,,33939,20936
Ncrim_WneonLacZ_B_002_cropped,G,2,527742,3843,,,120334,3826
Ncrim_WneonLacZ_B_002_cropped,H,2,335078,2199,,,119224,3320
Ncrim_WneonLacZ_B_002_cropped,A,3,22087,175691,,,19162,42897
Ncrim_WneonLacZ_B_002_cropped,B,3,32468,278390,,,20200,35454
Ncrim_WneonLacZ_B_002_cropped,C,3,173976,109481,,,43933,8162
Ncrim_WneonLacZ_B_002_cropped,D,3,385356,3845,,,94657,1276
Ncrim_WneonLacZ_B_002_cropped,E,3,26523,181733,,,20993,18626
Ncrim_WneonLacZ_B_002_cropped,F,3,29871,191266,,,17877,13276
Ncrim_WneonLacZ_B_002_cropped,G,3,281530,88425,,,61626,13015
Ncrim_WneonLacZ_B_002_cropped,H,3,379141,3848,,,142601,2043
Ncrim_WneonLacZ_B_002_cropped,A,4,23975,187182,,,21758,39407
Ncrim_WneonLacZ_B_002_cropped,B,4,28741,214643,,,23298,37747
Ncrim_WneonLacZ_B_002_cropped,C,4,26991,122953,,,18093,9692
Ncrim_WneonLacZ_B_002_cropped,D,4,19191,2746,,,18872,1531
Ncrim_WneonLacZ_B_002_cropped,E,4,27710,204281,,,19789,18628
Ncrim_WneonLacZ_B_002_cropped,F,4,27923,219532,,,21405,32673
Ncrim_WneonLacZ_B_002_cropped,G,4,32423,278779,,,20422,27058
Ncrim_WneonLacZ_B_002_cropped,H,4,20674,4122,,,20488,3064
Ncrim_WneonLacZ_B_002_cropped,A,5,77128,233352,,,53570,100507
Ncrim_WneonLacZ_B_002_cropped,B,5,688499,7959,,,130796,2295
Ncrim_WneonLacZ_B_002_cropped,C,5,664986,3293,,,108781,2296
Ncrim_WneonLacZ_B_002_cropped,D,5,686115,2746,,,178359,2297
Ncrim_WneonLacZ_B_002_cropped,E,5,141045,252091,,,38036,27050
Ncrim_WneonLacZ_B_002_cropped,F,5,732089,4945,,,140844,2552
Ncrim_WneonLacZ_B_002_cropped,G,5,516111,3296,,,102647,1787
Ncrim_WneonLacZ_B_002_cropped,H,5,598919,3847,,,373016,2553
Ncrim_WneonLacZ_B_002_cropped,A,6,25371,182771,,,20275,36914
Ncrim_WneonLacZ_B_002_cropped,B,6,130631,80984,,,33357,16323
Ncrim_WneonLacZ_B_002_cropped,C,6,445874,4116,,,89121,2041
Ncrim_WneonLacZ_B_002_cropped,D,6,492951,3296,,,95060,1531
Ncrim_WneonLacZ_B_002_cropped,E,6,31933,277064,,,21059,38531
Ncrim_WneonLacZ_B_002_cropped,F,6,164616,137103,,,45558,19911
Ncrim_WneonLacZ_B_002_cropped,G,6,553874,3021,,,124262,3829
Ncrim_WneonLacZ_B_002_cropped,H,6,428717,3573,,,125586,1532
Ncrim_WneonLacZ_B_002_cropped,A,7,26005,222846,,,22039,82761
Ncrim_WneonLacZ_B_002_cropped,B,7,27748,186131,,,19491,27545
Ncrim_WneonLacZ_B_002_cropped,C,7,228391,51599,,,50328,6377
Ncrim_WneonLacZ_B_002_cropped,D,7,585683,4944,,,112004,2041
Ncrim_WneonLacZ_B_002_cropped,E,7,26865,166940,,,19721,17863
Ncrim_WneonLacZ_B_002_cropped,F,7,37055,256091,,,19780,20933
Ncrim_WneonLacZ_B_002_cropped,G,7,90670,50263,,,31478,9956
Ncrim_WneonLacZ_B_002_cropped,H,7,446946,2473,,,131832,1021
Ncrim_WneonLacZ_B_002_cropped,A,8,20735,167534,,,19082,33629
Ncrim_WneonLacZ_B_002_cropped,B,8,30356,198731,,,22241,22184
Ncrim_WneonLacZ_B_002_cropped,C,8,28678,161398,,,18024,14796
Ncrim_WneonLacZ_B_002_cropped,D,8,22003,3295,,,20491,2041
Ncrim_WneonLacZ_B_002_cropped,E,8,30526,197719,,,18451,30369
Ncrim_WneonLacZ_B_002_cropped,F,8,30872,213217,,,17814,21954
Ncrim_WneonLacZ_B_002_cropped,G,8,27996,212600,,,18244,30889
Ncrim_WneonLacZ_B_002_cropped,H,8,18985,3298,,,17466,2809
Ncrim_WneonLacZ_B_002_cropped,A,9,106076,180204,,,45835,45097
Ncrim_WneonLacZ_B_002_cropped,B,9,405588,7684,,,102495,2804
Ncrim_WneonLacZ_B_002_cropped,C,9,488589,4392,,,117291,3061
Ncrim_WneonLacZ_B_002_cropped,D,9,893529,4942,,,102984,3572
Ncrim_WneonLacZ_B_002_cropped,E,9,258121,115338,,,43176,9444
Ncrim_WneonLacZ_B_002_cropped,F,9,691340,6867,,,138490,4339
Ncrim_WneonLacZ_B_002_cropped,G,9,445814,3571,,,140094,2553
Ncrim_WneonLacZ_B_002_cropped,H,9,276967,1649,,,145195,2553
Ncrim_WneonLacZ_B_002_cropped,A,10,20873,94092,,,19572,36950
Ncrim_WneonLacZ_B_002_cropped,B,10,105629,148999,,,33919,25238
Ncrim_WneonLacZ_B_002_cropped,C,10,518273,4118,,,141657,1786
Ncrim_WneonLacZ_B_002_cropped,D,10,387643,3295,,,79088,1786
Ncrim_WneonLacZ_B_002_cropped,E,10,28210,158455,,,19087,22207
Ncrim_WneonLacZ_B_002_cropped,F,10,562003,89274,,,48183,4849
Ncrim_WneonLacZ_B_002_cropped,G,10,748857,3297,,,381530,3319
Ncrim_WneonLacZ_B_002_cropped,H,10,452465,3297,,,114844,2808
Ncrim_WneonLacZ_B_002_cropped,A,11,23262,175609,,,21680,44858
Ncrim_WneonLacZ_B_002_cropped,B,11,29577,193166,,,19703,23454
Ncrim_WneonLacZ_B_002_cropped,C,11,116010,66158,,,35001,9694
Ncrim_WneonLacZ_B_002_cropped,D,11,418341,1373,,,97413,1786
Ncrim_WneonLacZ_B_002_cropped,E,11,28768,178229,,,19374,27309
Ncrim_WneonLacZ_B_002_cropped,F,11,27633,158207,,,18029,17353
Ncrim_WneonLacZ_B_002_cropped,G,11,209329,53565,,,69674,17616
Ncrim_WneonLacZ_B_002_cropped,H,11,757342,2748,,,252265,2553
Ncrim_WneonLacZ_B_002_cropped,A,12,22212,169023,,,21401,50470
Ncrim_WneonLacZ_B_002_cropped,B,12,23608,158252,,,19424,15284
