plate_alias,row,col,Neon-raw,Crim-raw,Neon-cfu,Crim-cfu,Neon-100,Crim-100
Ncrim_WneonLacZ_B_002_cropped,C,12,20105,79888,,,20838,19134
Ncrim_WneonLacZ_B_002_cropped,D,12,20102,3566,,,18939,1529
Ncrim_WneonLacZ_B_002_cropped,E,12,24760,134016,,,19513,28586
Ncrim_WneonLacZ_B_002_cropped,F,12,27003,186374,,,21123,37226
Ncrim_WneonLacZ_B_002_cropped,G,12,20184,85158,,,18170,26041
Ncrim_WneonLacZ_B_002_cropped,H,12,19056,3020,,,19434,2041
Nneon_WcrimLacZ_A_003_cropped,A,1,52125,26243,,,,
Nneon_WcrimLacZ_A_003_cropped,B,1,25829,106286,,,,
Nneon_WcrimLacZ_A_003_cropped,C,1,20677,119631,,,,
Nneon_WcrimLacZ_A_003_cropped,D,1,20055,150023,,,,
Nneon_WcrimLacZ_A_003_cropped,E,1,122411,11113,,,,
Nneon_WcrimLacZ_A_003_cropped,F,1,22981,87710,,,,
Nneon_WcrimLacZ_A_003_cropped,G,1,20893,115562,,,,
Nneon_WcrimLacZ_A_003_cropped,H,1,20336,75833,,,,
Nneon_WcrimLacZ_A_003_cropped,A,2,150856,2309,,,,
Nneon_WcrimLacZ_A_003_cropped,B,2,122258,74732,,,,
Nneon_WcrimLacZ_A_003_cropped,C,2,25848,93794,,,,
Nneon_WcrimLacZ_A_003_cropped,D,2,23467,81492,,,,
Nneon_WcrimLacZ_A_003_cropped,E,2,241691,4136,,,,
Nneon_WcrimLacZ_A_003_cropped,F,2,438101,16559,,,,
Nneon_WcrimLacZ_A_003_cropped,G,2,30315,94366,,,,
Nneon_WcrimLacZ_A_003_cropped,H,2,20687,106116,,,,
Nneon_WcrimLacZ_A_003_cropped,A,3,119546,1801,,,,
Nneon_WcrimLacZ_A_003_cropped,B,3,445706,3103,,,,
Nneon_WcrimLacZ_A_003_cropped,C,3,212290,14216,,,,
Nneon_WcrimLacZ_A_003_cropped,D,3,21383,66737,,,,
Nneon_WcrimLacZ_A_003_cropped,E,3,238259,2069,,,,
Nneon_WcrimLacZ_A_003_cropped,F,3,323001,2070,,,,
Nneon_WcrimLacZ_A_003_cropped,G,3,247491,14224,,,,
Nneon_WcrimLacZ_A_003_cropped,H,3,20614,55899,,,,
Nneon_WcrimLacZ_A_003_cropped,A,4,230502,2062,,,,
Nneon_WcrimLacZ_A_003_cropped,B,4,269592,3361,,,,
Nneon_WcrimLacZ_A_003_cropped,C,4,191140,2327,,,,
Nneon_WcrimLacZ_A_003_cropped,D,4,23048,1810,,,,
Nneon_WcrimLacZ_A_003_cropped,E,4,167220,1810,,,,
Nneon_WcrimLacZ_A_003_cropped,F,4,135050,2845,,,,
Nneon_WcrimLacZ_A_003_cropped,G,4,303415,2328,,,,
Nneon_WcrimLacZ_A_003_cropped,H,4,19573,3364,,,,
Nneon_WcrimLacZ_A_003_cropped,A,5,131028,33273,4433.33333333333,1100,,
Nneon_WcrimLacZ_A_003_cropped,B,5,28200,157960,0,22333.3333333333,,
Nneon_WcrimLacZ_A_003_cropped,C,5,30440,260889,0,18333.3333333333,,
Nneon_WcrimLacZ_A_003_cropped,D,5,27025,145092,0,15333.3333333333,,
Nneon_WcrimLacZ_A_003_cropped,E,5,125010,37503,3100,0,,
Nneon_WcrimLacZ_A_003_cropped,F,5,31148,117180,0,10333.3333333333,,
Nneon_WcrimLacZ_A_003_cropped,G,5,24737,92870,0,11000,,
Nneon_WcrimLacZ_A_003_cropped,H,5,22572,94452,0,23666.6666666667,,
Nneon_WcrimLacZ_A_003_cropped,A,6,151778,2839,5033.33333333333,0,,
Nneon_WcrimLacZ_A_003_cropped,B,6,252794,48607,14000,2000,,
Nneon_WcrimLacZ_A_003_cropped,C,6,24863,103921,166.666666666667,9000,,
Nneon_WcrimLacZ_A_003_cropped,D,6,23605,178988,0,15333.3333333333,,
Nneon_WcrimLacZ_A_003_cropped,E,6,223773,4655,4533.33333333333,0,,
Nneon_WcrimLacZ_A_003_cropped,F,6,111105,16815,2733.33333333333,566.666666666667,,
Nneon_WcrimLacZ_A_003_cropped,G,6,25921,76046,0,11333.3333333333,,
Nneon_WcrimLacZ_A_003_cropped,H,6,22638,61853,0,24000,,
Nneon_WcrimLacZ_A_003_cropped,A,7,379900,2840,5400,0,,
Nneon_WcrimLacZ_A_003_cropped,B,7,559652,5947,4800,0,,
Nneon_WcrimLacZ_A_003_cropped,C,7,423145,53258,8433.33333333333,2566.66666666667,,
Nneon_WcrimLacZ_A_003_cropped,D,7,26878,90264,0,9666.66666666667,,
Nneon_WcrimLacZ_A_003_cropped,E,7,188365,2845,3033.33333333333,0,,
Nneon_WcrimLacZ_A_003_cropped,F,7,267936,3104,3633.33333333333,0,,
Nneon_WcrimLacZ_A_003_cropped,G,7,170540,5949,2500,36.6666666666667,,
Nneon_WcrimLacZ_A_003_cropped,H,7,20203,75047,0,18333.3333333333,,
Nneon_WcrimLacZ_A_003_cropped,A,8,183454,3615,3366.66666666667,0,,
Nneon_WcrimLacZ_A_003_cropped,B,8,381650,5170,6200,0,,
Nneon_WcrimLacZ_A_003_cropped,C,8,240289,2844,4333.33333333333,133.333333333333,,
Nneon_WcrimLacZ_A_003_cropped,D,8,22842,2586,0,0,,
Nneon_WcrimLacZ_A_003_cropped,E,8,248907,4138,3866.66666666667,0,,
Nneon_WcrimLacZ_A_003_cropped,F,8,338436,1811,3166.66666666667,0,,
Nneon_WcrimLacZ_A_003_cropped,G,8,325082,4398,960,0,,
Nneon_WcrimLacZ_A_003_cropped,H,8,21313,2846,0,0,,
Nneon_WcrimLacZ_A_003_cropped,A,9,92621,38487,,,,
Nneon_WcrimLacZ_A_003_cropped,B,9,26523,117348,,,,
Nneon_WcrimLacZ_A_003_cropped,C,9,29664,176866,,,,
Nneon_WcrimLacZ_A_003_cropped,D,9,25910,124898,,,,
Nneon_WcrimLacZ_A_003_cropped,E,9,159832,63109,,,,
Nneon_WcrimLacZ_A_003_cropped,F,9,25013,89745,,,,
Nneon_WcrimLacZ_A_003_cropped,G,9,25778,100642,,,,
Nneon_WcrimLacZ_A_003_cropped,H,9,21109,103222,,,,
Nneon_WcrimLacZ_A_003_cropped,A,10,153855,1808,,,,
Nneon_WcrimLacZ_A_003_cropped,B,10,131257,15249,,,,
Nneon_WcrimLacZ_A_003_cropped,C,10,27787,101624,,,,
Nneon_WcrimLacZ_A_003_cropped,D,10,20755,107572,,,,
Nneon_WcrimLacZ_A_003_cropped,E,10,235575,2845,,,,
Nneon_WcrimLacZ_A_003_cropped,F,10,173388,24570,,,,
Nneon_WcrimLacZ_A_003_cropped,G,10,26821,78912,,,,
Nneon_WcrimLacZ_A_003_cropped,H,10,19783,81755,,,,
Nneon_WcrimLacZ_A_003_cropped,A,11,142913,1550,,,,
Nneon_WcrimLacZ_A_003_cropped,B,11,367786,2067,,,,
Nneon_WcrimLacZ_A_003_cropped,C,11,175085,5171,,,,
Nneon_WcrimLacZ_A_003_cropped,D,11,19499,94885,,,,
Nneon_WcrimLacZ_A_003_cropped,E,11,246181,3879,,,,
Nneon_WcrimLacZ_A_003_cropped,F,11,294533,2069,,,,
Nneon_WcrimLacZ_A_003_cropped,G,11,159340,10089,,,,
Nneon_WcrimLacZ_A_003_cropped,H,11,18946,25092,,,,
Nneon_WcrimLacZ_A_003_cropped,A,12,129608,1809,,,,
Nneon_WcrimLacZ_A_003_cropped,B,12,449642,2066,,,,
Nneon_WcrimLacZ_A_003_cropped,C,12,199809,2844,,,,
Nneon_WcrimLacZ_A_003_cropped,D,12,20057,2842,,,,
Nneon_WcrimLacZ_A_003_cropped,E,12,175655,3879,,,,
Nneon_WcrimLacZ_A_003_cropped,F,12,296878,3359,,,,
Nneon_WcrimLacZ_A_003_cropped,G,12,222493,4657,,,,
Nneon_WcrimLacZ_A_003_cropped,H,12,20134,2326,,,,
Nneon_WcrimLacZ_B_004_cropped,A,1,73606,33788,,,,
Nneon_WcrimLacZ_B_004_cropped,B,1,27648,110741,,,,
Nneon_WcrimLacZ_B_004_cropped,C,1,22055,122617,,,,
Nneon_WcrimLacZ_B_004_cropped,D,1,23324,142118,,,,
Nneon_WcrimLacZ_B_004_cropped,E,1,45899,77262,,,,
Nneon_WcrimLacZ_B_004_cropped,F,1,32083,177306,,,,
Nneon_WcrimLacZ_B_004_cropped,G,1,26420,137975,,,,
Nneon_WcrimLacZ_B_004_cropped,H,1,21092,77645,,,,
Nneon_WcrimLacZ_B_004_cropped,A,2,231372,2430,,,,
Nneon_WcrimLacZ_B_004_cropped,B,2,272936,8435,,,,
Nneon_WcrimLacZ_B_004_cropped,C,2,29280,77210,,,,
Nneon_WcrimLacZ_B_004_cropped,D,2,23179,106171,,,,
Nneon_WcrimLacZ_B_004_cropped,E,2,323432,4624,,,,
Nneon_WcrimLacZ_B_004_cropped,F,2,403518,29683,,,,
Nneon_WcrimLacZ_B_004_cropped,G,2,23550,74822,,,,
Nneon_WcrimLacZ_B_004_cropped,H,2,20674,145493,,,,
Nneon_WcrimLacZ_B_004_cropped,A,3,224105,2437,,,,
Nneon_WcrimLacZ_B_004_cropped,B,3,614009,1633,,,,
Nneon_WcrimLacZ_B_004_cropped,C,3,116224,7070,,,,
Nneon_WcrimLacZ_B_004_cropped,D,3,27733,84123,,,,
Nneon_WcrimLacZ_B_004_cropped,E,3,157622,2449,,,,
Nneon_WcrimLacZ_B_004_cropped,F,3,422678,3268,,,,
Nneon_WcrimLacZ_B_004_cropped,G,3,315307,7348,,,,
Nneon_WcrimLacZ_B_004_cropped,H,3,21016,105440,,,,
Nneon_WcrimLacZ_B_004_cropped,A,4,296027,3797,,,,
Nneon_WcrimLacZ_B_004_cropped,B,4,388422,3809,,,,
Nneon_WcrimLacZ_B_004_cropped,C,4,220353,4624,,,,
Nneon_WcrimLacZ_B_004_cropped,D,4,25920,2722,,,,
Nneon_WcrimLacZ_B_004_cropped,E,4,178056,3538,,,,
Nneon_WcrimLacZ_B_004_cropped,F,4,263288,4901,,,,
Nneon_WcrimLacZ_B_004_cropped,G,4,438774,5172,,,,
Nneon_WcrimLacZ_B_004_cropped,H,4,20603,1090,,,,
Nneon_WcrimLacZ_B_004_cropped,A,5,212736,23612,,,,
Nneon_WcrimLacZ_B_004_cropped,B,5,25272,138483,,,,
Nneon_WcrimLacZ_B_004_cropped,C,5,25146,146614,,,,
Nneon_WcrimLacZ_B_004_cropped,D,5,27251,101533,,,,
Nneon_WcrimLacZ_B_004_cropped,E,5,121070,25311,,,,
Nneon_WcrimLacZ_B_004_cropped,F,5,33849,167736,,,,
Nneon_WcrimLacZ_B_004_cropped,G,5,30003,331636,,,,
Nneon_WcrimLacZ_B_004_cropped,H,5,20674,110323,,,,
Nneon_WcrimLacZ_B_004_cropped,A,6,319635,5159,,,,
Nneon_WcrimLacZ_B_004_cropped,B,6,134687,14419,,,,
Nneon_WcrimLacZ_B_004_cropped,C,6,37195,185510,,,,
Nneon_WcrimLacZ_B_004_cropped,D,6,26404,151357,,,,
Nneon_WcrimLacZ_B_004_cropped,E,6,377999,4626,,,,
Nneon_WcrimLacZ_B_004_cropped,F,6,341321,23419,,,,
Nneon_WcrimLacZ_B_004_cropped,G,6,33159,119230,,,,
Nneon_WcrimLacZ_B_004_cropped,H,6,23053,195602,,,,
Nneon_WcrimLacZ_B_004_cropped,A,7,235566,4889,,,,
Nneon_WcrimLacZ_B_004_cropped,B,7,281635,816,,,,
Nneon_WcrimLacZ_B_004_cropped,C,7,289172,6799,,,,
Nneon_WcrimLacZ_B_004_cropped,D,7,25070,121145,,,,
Nneon_WcrimLacZ_B_004_cropped,E,7,210383,3265,,,,
Nneon_WcrimLacZ_B_004_cropped,F,7,287756,2996,,,,
Nneon_WcrimLacZ_B_004_cropped,G,7,70309,209629,,,,
Nneon_WcrimLacZ_B_004_cropped,H,7,26765,109242,,,,
Nneon_WcrimLacZ_B_004_cropped,A,8,187805,1902,,,,
Nneon_WcrimLacZ_B_004_cropped,B,8,320242,2992,,,,
Nneon_WcrimLacZ_B_004_cropped,C,8,188102,2448,,,,
Nneon_WcrimLacZ_B_004_cropped,D,8,21781,1633,,,,
Nneon_WcrimLacZ_B_004_cropped,E,8,382863,3810,,,,
Nneon_WcrimLacZ_B_004_cropped,F,8,397157,2179,,,,
Nneon_WcrimLacZ_B_004_cropped,G,8,250613,1906,,,,
Nneon_WcrimLacZ_B_004_cropped,H,8,20179,2179,,,,
Nneon_WcrimLacZ_B_004_cropped,A,9,151716,16851,,,,
Nneon_WcrimLacZ_B_004_cropped,B,9,22470,106090,,,,
Nneon_WcrimLacZ_B_004_cropped,C,9,24862,96031,,,,
Nneon_WcrimLacZ_B_004_cropped,D,9,24376,86827,,,,
Nneon_WcrimLacZ_B_004_cropped,E,9,89711,44907,,,,
Nneon_WcrimLacZ_B_004_cropped,F,9,31958,121159,,,,
Nneon_WcrimLacZ_B_004_cropped,G,9,24182,137768,,,,
Nneon_WcrimLacZ_B_004_cropped,H,9,24390,62375,,,,
Nneon_WcrimLacZ_B_004_cropped,A,10,146871,3262,,,,
Nneon_WcrimLacZ_B_004_cropped,B,10,185132,8704,,,,
Nneon_WcrimLacZ_B_004_cropped,C,10,27526,99566,,,,
Nneon_WcrimLacZ_B_004_cropped,D,10,20803,85732,,,,
Nneon_WcrimLacZ_B_004_cropped,E,10,216816,3266,,,,
Nneon_WcrimLacZ_B_004_cropped,F,10,275205,11435,,,,
Nneon_WcrimLacZ_B_004_cropped,G,10,26773,137513,,,,
Nneon_WcrimLacZ_B_004_cropped,H,10,23893,96149,,,,
Nneon_WcrimLacZ_B_004_cropped,A,11,199695,2175,,,,
Nneon_WcrimLacZ_B_004_cropped,B,11,256194,3807,,,,
Nneon_WcrimLacZ_B_004_cropped,C,11,82455,7889,,,,
Nneon_WcrimLacZ_B_004_cropped,D,11,19893,47077,,,,
Nneon_WcrimLacZ_B_004_cropped,E,11,155066,4899,,,,
Nneon_WcrimLacZ_B_004_cropped,F,11,220086,1906,,,,
Nneon_WcrimLacZ_B_004_cropped,G,11,180773,60164,,,,
Nneon_WcrimLacZ_B_004_cropped,H,11,21447,63724,,,,
Nneon_WcrimLacZ_B_004_cropped,A,12,109723,3262,,,,
Nneon_WcrimLacZ_B_004_cropped,B,12,135862,2175,,,,
Nneon_WcrimLacZ_B_004_cropped,C,12,257611,1904,,,,
Nneon_WcrimLacZ_B_004_cropped,D,12,18351,1904,,,,
Nneon_WcrimLacZ_B_004_cropped,E,12,203400,816,,,,
Nneon_WcrimLacZ_B_004_cropped,F,12,334907,1633,,,,
Nneon_WcrimLacZ_B_004_cropped,G,12,262710,2995,,,,
Nneon_WcrimLacZ_B_004_cropped,H,12,21022,1633,,,,
